Año ;Mes;Total;Confeccionistas;Electrónicas;Plásticas;Textiles;Pesqueras;Mecánica;Otras
2021;mayo;49;5;23;7;8;3;1;2
2021;junio;48;5;23;7;8;3;1;1
2021;julio;50;5;24;7;8;3;1;2
2021;agosto;49;5;24;7;8;3;1;1
2021;septiembre;50;5;24;7;8;3;1;2
2021;octubre;49;5;24;7;8;3;1;1
2021;noviembre;49;5;24;7;8;3;1;1
2021;diciembre;47;4;24;7;8;2;1;1
2022;enero ;47;5;22;7;8;3;1;1
2022;febrero ;46;4;22;7;8;3;1;1
2022;marzo ;47;5;22;7;8;3;1;1
2022;abril ;47;5;22;7;8;3;1;1
2022;mayo ;47;5;22;7;8;3;1;1
2022;junio ;47;5;22;7;8;3;1;1
2022;julio ;47;5;22;7;8;3;1;1
2022;agosto ;47;5;22;7;8;3;1;1
2022;septiembre ;47;5;22;7;8;3;1;1
2022;octubre ;47;5;22;7;8;3;1;1
2022;noviembre ;45;5;20;7;8;3;1;1
2022;diciembre ;45;5;20;7;8;3;1;1
2023;enero ;45;5;20;7;8;3;1;1
2023;febrero ;44;4;20;7;8;3;1;1
2023;marzo ;43;4;20;7;7;3;1;1
2023;abril ;44;4;20;7;8;3;1;1
2023;mayo ;44;4;20;7;8;3;1;1
2023;junio ;44;4;20;7;8;3;1;1
2023;julio ;44;4;20;7;8;3;1;1
2023;agosto ;42;4;18;7;8;3;1;1
2023;Septiembre;42;4;18;7;8;3;1;1
2023;Octubre;42;4;19;7;8;2;1;1
2023;Noviembre;32;3;16;6;3;2;1;1
2023;Diciembre;39;4;16;7;8;2;1;1
2024;Enero;38;4;16;7;7;2;1;1
2024;Febrero;38;4;16;7;7;2;1;1
2024;Marzo;37;4;16;7;6;2;1;1
2024;Abril;39;4;17;7;7;2;1;1
2024;Mayo;37;4;16;7;6;2;1;1
2024;Junio;37;4;16;7;6;2;1;1
2024;Julio;38;4;17;7;6;2;1;1
2024;Agosto;39;4;18;7;6;2;1;1
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
