Año;Mes; Total (unidades);Acondicionador de Aire;Afeitadora Eléctrica;Aspiradora;Autorradio;Cámara Fotográfica Digital;Computadora Portátil;Decodificador de Video;Depiladora Eléctrica;Equipo de Radiocomunicaciones Móviles Celulares;Horno/Cocina a Microondas;Lavarropas;Módem;Módulo Electrónico para Automotor;Monitor;Reproductor de Video;Sistema de Audio;Tablet PC;Televisor;Unidades Evaporadoras Condensadoras;Videocámara
2023;Apr ;1.333.622;81.204;0;0;10.779;0;0;0;0;959.747;42.317;0;4.704;8.105;14.362;0;0;0;212.404;0;0
2023;May ;1.457.884;124.516;0;0;10.641;0;1;0;0;976.765;53.004;0;32;7.720;53.462;0;0;0;231.743;0;0
2023;Jun ;1.411.883;121.374;0;0;12.222;0;0;0;0;928.527;28.348;1.737;60;17.094;28.393;0;0;0;274.128;0;0
2023;Jul ;1.061.571;114.194;0;0;9.042;0;0;0;0;653.244;24.845;1.830;0;13.214;28.199;0;0;0;217.003;0;0
2023;Ago ;1.531.782;202.246;0;0;16.289;0;28.727;0;0;917.282;39.244;2.383;0;32.834;36.662;0;0;0;256.115;0;0
2023;Sep;1.466.217;201.676;0;0;15.942;0;46.344;0;0;897.226;39.375;2.148;0;24.720;31.465;0;0;0;207.321;0;0
2023;Oct;1.374.657;169.690;0;0;13.112;0;47.616;0;0;844.397;46.836;2.831;0;20.754;22.039;0;0;0;206.806;576;0
2023;Nov;1.125.193;120.896;0;0;13.339;0;44.575;0;0;676.508;42.696;2.113;;24.504;37.656;0;0;0;162.591;315;0
2023;Dic;429.113;120.175;0;0;7.737;0;0;0;0;198.273;16.310;1.607;0;12.543;29;0;1.203;0;70.489;747;0
2024;Ene;221.477;51.305;0;0;7.331;0;0;0;0;107.919;7.200;0;0;12.620;1.190;0;0;0;32.801;1.111;0
2024;Feb;433.096;16.847;0;0;11.461;0;0;0;0;287.141;8.870;0;0;15.782;4.937;0;0;0;88.058;0;0
2024;Mar;636.645;39.840;0;0;16.472;0;0;0;0;371.239;15.456;0;0;40.922;9.067;0;0;0;142.949;700;0
2024;Abr;612.458;38.846;0;0;14.971;0;0;0;0;386.050;17.816;0;0;22.159;8.220;0;140;0;124.256;0;0
2024;May;588.716;47.051;0;0;13.109;0;0;0;0;323.243;18.776;0;0;27.509;0;0;1.069;0;157.959;0;0
2024;Jun;601.136;44.774;0;0;20.303;0;0;0;0;330.596;23.107;0;0;17.079;0;0;740;0;164.537;0;0
2024;Jul;952.209;84.234;0;0;23.602;0;0;0;0;566.579;22.015;0;0;29.497;12.132;0;1.066;0;213.084;0;0
2024;Ago;1.009.405;113.095;0;0;22.751;0;0;0;0;635.533;10.384;0;0;21.734;12.640;0;1.400;0;191.868;0;0
