Evolución mensual de la producción de los principales productos textiles en la Provincia de Tierra del Fuego AeIAS;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Período ;; Principales productos de la IndustriaTextil;;;;;;;;;;;;;;;;;;;;;;;;
;; Total; Floca; Hilado; Tejido;Tela Recubierta;Top;;Total;Tejido;Tela Recubierta;;;;;;;;;;;;;;;
;; Kilos;;;;;;;;metro lineal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Feb;1.394.865;7.304;288.420;956.705;-;142.437;;959.949;262.857;697.092;;;;;;;;;;;;;;;
;Mar;1.507.704;4.993;252.568;1.047.753;39.728;162.662;;616.198;273.003;343.195;;;;;;;;;;;;;;;
;Apr;1.752.580;10.570;280.749;1.281.742;25;179.495;;498.476;262.086;236.390;;;;;;;;;;;;;;;
;May;1.688.659;8.536;290.628;1.110.639;3.131;275.727;;877.716;394.562;483.154;;;;;;;;;;;;;;;
;Jun;1.713.404;4.028;253.572;1.234.524;11.161;210.119;;798.623;467.997;330.626;;;;;;;;;;;;;;;
;Jul;2.056.799;10.432;342.791;1.455.619;9.233;238.725;;1.335.482;658.397;677.085;;;;;;;;;;;;;;;
;Ago;2.129.574;23.756;318.991;1.461.327;-;325.501;;1.130.901;568.130;562.771;;;;;;;;;;;;;;;
;Sep;1.881.599;4.791;297.213;1.383.657;23.903;172.036;;1.423.112;637.408;785.704;;;;;;;;;;;;;;;
;Oct;2.206.637;28.351;353.389;1.495.472;24.680;304.746;;555.011;247.227;307.784;;;;;;;;;;;;;;;
;Nov;2.195.192;7.279;313.799;1.471.582;10;402.523;;756.914;212.332;544.582;;;;;;;;;;;;;;;
;Dic;1.418.336;20.503;227.833;901.452;25.469;243.079;;739.875;313.598;426.277;;;;;;;;;;;;;;;
2020;Ene;1.221.121;-;167.285;872.274;22.564;158.999;;629.896;249.197;380.699;;;;;;;;;;;;;;;
;Feb;1.796.964;14.203;275.667;1.198.843;-;308.252;;1.068.350;363.275;705.075;;;;;;;;;;;;;;;
;Mar;1.155.162;10.913;212.124;714.864;15.972;201.290;;668.358;434.574;233.784;;;;;;;;;;;;;;;
;Apr;-;-;-;-;-;-;;-;-;-;;;;;;;;;;;;;;;
;May;491.542;11.713;101.329;199.503;33.052;145.946;;129.077;-;129.077;;;;;;;;;;;;;;;
;Jun;1.576.215;12.923;293.807;995.959;19.422;254.104;;734.789;266.459;468.330;;;;;;;;;;;;;;;
;Jul;1.841.171;16.085;342.338;1.067.321;57.027;358.401;;943.851;611.727;332.124;;;;;;;;;;;;;;;
;Ago;634.402;16.309;158.204;349.422;20.053;90.413;;426.843;288.675;138.168;;;;;;;;;;;;;;;
;Sep;2.202.280;11.684;309.452;1.477.770;-;403.374;;1.357.283;922.883;434.400;;;;;;;;;;;;;;;
;Oct;1.975.138;6.239;274.793;1.281.888;4;412.214;;709.347;484.999;224.348;;;;;;;;;;;;;;;
;Nov;2.233.046;24.064;256.115;1.496.665;19.010;437.194;;797.612;423.733;373.879;;;;;;;;;;;;;;;
;Dic;1.546.142;7.350;195.684;1.083.070;25.598;234.441;;895.975;486.277;409.698;;;;;;;;;;;;;;;
2021;Ene;1.407.778;41.216;238.148;939.055;30.967;158.392;;1.207.174;745.346;461.828;;;;;;;;;;;;;;;
;Feb;1.692.532;6.801;323.851;951.951;57.142;352.787;;756.919;312.669;444.250;;;;;;;;;;;;;;;
;Mar;2.495.555;7.552;343.092;1.650.609;16.342;477.960;;887.726;335.843;551.883;;;;;;;;;;;;;;;
;Apr;1.993.665;28.345;352.610;1.162.087;26.679;423.945;;1.155.275;596.190;559.085;;;;;;;;;;;;;;;
;May;1.271.155;7.243;280.801;567.988;31.183;383.941;;491.782;-;491.782;;;;;;;;;;;;;;;
;Jun;1.315.753;17.606;282.279;572.756;20.237;422.875;;768.147;-;768.147;;;;;;;;;;;;;;;
;Jul;1.254.530;7.459;370.863;526.217;44.725;305.267;;938.709;-;938.709;;;;;;;;;;;;;;;
